,,,0.001030961,-0.001678783,0.000647842,1&2,1&3,2&3,,,,
0.083899,0.18765,-0.27155,0.082868039,0.189328783,-0.272197842,0.015689305,-0.022556502,-0.051534886,,0.008364986,-0.004137326,-0.004227659
0.036808,-0.047164,0.010356,0.035777039,-0.045485217,0.009708158,-0.001627326,0.000347329,-0.000441578,,-0.004137326,0.008733953,-0.00459663
0.045252,0.028379,-0.073632,0.044221039,0.030057783,-0.074279842,0.001329186,-0.003284732,-0.002232687,,-0.004227659,-0.00459663,0.00882429
0.02029,0.0019745,-0.022264,0.019259039,0.003653283,-0.022911842,7.04E-05,-0.00044126,-8.37E-05,,,,
-0.12127,-0.094976,0.21625,-0.122300961,-0.093297217,0.215602158,0.011410339,-0.026368351,-0.020115081,,8.364986,-4.137326,-4.227659
-0.049953,-0.1619,0.21186,-0.050983961,-0.160221217,0.211212158,0.008168712,-0.010768432,-0.033840669,,-4.137326,8.733953,-4.59663
-0.097954,-0.046611,0.14457,-0.098984961,-0.044932217,0.143922158,0.004447614,-0.014246129,-0.006466742,,-4.227659,-4.59663,8.82429
-0.17166,0.23166,-0.060002,-0.172690961,0.233338783,-0.060649842,-0.040295499,0.010473679,-0.01415196,,,,
-0.22059,0.047737,0.17286,-0.221620961,0.049415783,0.172212158,-0.010951573,-0.038165824,0.008509999,,0.947950033,-0.468856531,-0.479093389
0.037049,-0.33724,0.30019,0.036018039,-0.335561217,0.299542158,-0.012086257,0.010788921,-0.100514731,,-0.468856531,0.989762689,-0.520906498
0.014317,-0.041188,0.026871,0.013286039,-0.039509217,0.026223158,-0.000524921,0.000348402,-0.001036056,,-0.479093389,-0.520906498,1
0.15203,0.025543,-0.17757,0.150999039,0.027221783,-0.178217842,0.004110463,-0.026910723,-0.004851407,,,,
0.14713,-0.11858,-0.028547,0.146099039,-0.116901217,-0.029194842,-0.017079155,-0.004265338,0.003412913,,,,
0.028765,0.1039,-0.13267,0.027734039,0.105578783,-0.133317842,0.002928126,-0.003697442,-0.014075536,,,,
-0.066358,0.0094476,0.05691,-0.067388961,0.011126383,0.056262158,-0.000749795,-0.003791448,0.000625994,,,,
-0.012834,0.012672,0.00016215,-0.013864961,0.014350783,-0.000485692,-0.000198973,6.73E-06,-6.97E-06,,,,
-0.043403,-0.14842,0.19182,-0.044433961,-0.146741217,0.191172158,0.006520293,-0.008494536,-0.028052835,,,,
-0.041824,-0.037467,0.079291,-0.042854961,-0.035788217,0.078643158,0.001533703,-0.003370249,-0.002814498,,,,
0.11697,-0.01106,-0.10591,0.115939039,-0.009381217,-0.106557842,-0.001087649,-0.012354214,0.000999642,,,,
0.0036204,0.010651,-0.014271,0.002589439,0.012329783,-0.014918842,3.19E-05,-3.86E-05,-0.000183946,,,,
0.078078,-0.14326,0.065184,0.077047039,-0.141581217,0.064536158,-0.010908414,0.00497232,-0.009137108,,,,
-0.066247,0.063289,0.0029574,-0.067277961,0.064967783,0.002309558,-0.0043709,-0.000155382,0.000150047,,,,
-0.060325,0.084437,-0.024111,-0.061355961,0.086115783,-0.024758842,-0.005283717,0.001519103,-0.002132127,,,,
0.032856,-0.15248,0.11963,0.031825039,-0.150801217,0.118982158,-0.004799255,0.003786612,-0.017942654,,,,
-0.029104,0.093359,-0.064255,-0.030134961,0.095037783,-0.064902842,-0.00286396,0.001955845,-0.006168222,,,,
0.017227,0.043824,-0.061051,0.016196039,0.045502783,-0.061698842,0.000736965,-0.000999277,-0.002807469,,,,
0.025553,0.020793,-0.046346,0.024522039,0.022471783,-0.046993842,0.000551054,-0.001152385,-0.001056035,,,,
-0.0032869,-0.18265,0.18593,-0.004317861,-0.180971217,0.185282158,0.000781408,-0.000800023,-0.033530738,,,,
-0.006966,-0.039771,0.046737,-0.007996961,-0.038092217,0.046089158,0.000304622,-0.000368573,-0.001755638,,,,
-0.040034,-0.043306,0.08334,-0.041064961,-0.041627217,0.082692158,0.00170942,-0.00339575,-0.003442244,,,,
-0.049203,-0.093384,0.14259,-0.050233961,-0.091705217,0.141942158,0.004606716,-0.007130317,-0.013016836,,,,
0.031373,-0.015656,-0.015717,0.030342039,-0.013977217,-0.016364842,-0.000424097,-0.000496543,0.000228735,,,,
0.044979,0.05167,-0.096649,0.043948039,0.053348783,-0.097296842,0.002344574,-0.004276005,-0.005190668,,,,
-0.011825,0.25105,-0.23923,-0.012855961,0.252728783,-0.239877842,-0.003249071,0.00308386,-0.060624035,,,,
-0.076091,0.017514,0.058577,-0.077121961,0.019192783,0.057929158,-0.001480185,-0.00446761,0.001111822,,,,
-0.12227,0.01418,0.10809,-0.123300961,0.015858783,0.107442158,-0.001955403,-0.013247721,0.001703902,,,,
0.096762,-0.11985,0.023089,0.095731039,-0.118171217,0.022441158,-0.011312653,0.002148315,-0.002651899,,,,
-0.050589,0.030813,0.019777,-0.051619961,0.032491783,0.019129158,-0.001677225,-0.000987446,0.00062154,,,,
0.23694,-0.1512,-0.085738,0.235909039,-0.149521217,-0.086385842,-0.035273407,-0.020379201,0.012916516,,,,
0.058654,0.0021621,-0.060816,0.057623039,0.003840883,-0.061463842,0.000221323,-0.003541733,-0.000236075,,,,
0.15128,-0.15812,0.006836,0.150249039,-0.156441217,0.006188158,-0.023505143,0.000929765,-0.000968083,,,,
-0.15751,0.047244,0.11027,-0.158540961,0.048922783,0.109622158,-0.007756265,-0.017379602,0.005363021,,,,
-0.10766,0.097804,0.0098519,-0.108690961,0.099482783,0.009204058,-0.010812879,-0.001000398,0.000915645,,,,
0.10299,-0.01633,-0.086659,0.101959039,-0.014651217,-0.087306842,-0.001493824,-0.008901722,0.001279151,,,,
-0.067886,-0.022093,0.089979,-0.068916961,-0.020414217,0.089331158,0.001406886,-0.006156432,-0.001823626,,,,
-0.057952,0.042708,0.015244,-0.058982961,0.044386783,0.014596158,-0.002618064,-0.000860925,0.000647876,,,,
0.01246,-0.013982,0.0015218,0.011429039,-0.012303217,0.000873958,-0.000140614,9.99E-06,-1.08E-05,,,,
-0.092988,0.066776,0.026212,-0.094018961,0.068454783,0.025564158,-0.006436048,-0.002403516,0.001749989,,,,
-0.11118,0.072793,0.038386,-0.112210961,0.074471783,0.037738158,-0.00835655,-0.004234635,0.002810428,,,,
0.03762,-0.019407,-0.018214,0.036589039,-0.017728217,-0.018861842,-0.000648658,-0.000690137,0.000334387,,,,
0.067032,0.07304,-0.14007,0.066001039,0.074718783,-0.140717842,0.004931517,-0.009287524,-0.010514266,,,,
0.1291,-0.11214,-0.016964,0.128069039,-0.110461217,-0.017611842,-0.014146662,-0.002255532,0.001945426,,,,
-0.041011,-0.03566,0.076671,-0.042041961,-0.033981217,0.076023158,0.001428637,-0.003196163,-0.002583359,,,,
0.13567,-0.10103,-0.034641,0.134639039,-0.099351217,-0.035288842,-0.013376552,-0.004751256,0.003505989,,,,
-0.05781,0.074725,-0.016915,-0.058840961,0.076403783,-0.017562842,-0.004495672,0.001033414,-0.001341868,,,,
0.11264,-0.0036891,-0.10895,0.111609039,-0.002010317,-0.109597842,-0.00022437,-0.01223211,0.000220326,,,,
0.089812,-0.29037,0.20056,0.088781039,-0.288691217,0.199912158,-0.025630306,0.017748409,-0.057712884,,,,
-0.055935,0.019584,0.036351,-0.056965961,0.021262783,0.035703158,-0.001211255,-0.002033865,0.000759149,,,,
-0.030847,-0.013911,0.044758,-0.031877961,-0.012232217,0.044110158,0.000389938,-0.001406142,-0.000539565,,,,
-0.044083,0.0072717,0.036811,-0.045113961,0.008950483,0.036163158,-0.000403792,-0.001631463,0.000323678,,,,
0.095943,0.060257,-0.1562,0.094912039,0.061935783,-0.156847842,0.005878451,-0.014886749,-0.009714494,,,,
0.10238,-0.1233,0.020916,0.101349039,-0.121621217,0.020268158,-0.012326194,0.002054158,-0.002465038,,,,
0.048792,-0.076909,0.028117,0.047761039,-0.075230217,0.027469158,-0.003593073,0.001311956,-0.002066511,,,,
-0.051397,0.072307,-0.02091,-0.052427961,0.073985783,-0.021557842,-0.003878924,0.001130234,-0.001594974,,,,
0.02552,-0.086072,0.060552,0.024489039,-0.084393217,0.059904158,-0.002066709,0.001466995,-0.005055505,,,,
-0.0025848,0.017721,-0.015136,-0.003615761,0.019399783,-0.015783842,-7.01E-05,5.71E-05,-0.000306203,,,,
0.014167,0.068972,-0.08314,0.013136039,0.070650783,-0.083787842,0.000928071,-0.00110064,-0.005919677,,,,
-0.011249,0.066833,-0.055583,-0.012279961,0.068511783,-0.056230842,-0.000841322,0.000690513,-0.003852475,,,,
0.064983,-0.11507,0.050084,0.063952039,-0.113391217,0.049436158,-0.0072516,0.003161543,-0.005605626,,,,
-0.13541,0.11155,0.02386,-0.136440961,0.113228783,0.023212158,-0.015449044,-0.003167089,0.002628284,,,,
-0.15357,0.10648,0.047087,-0.154600961,0.108158783,0.046439158,-0.016721452,-0.007179538,0.005022803,,,,
-0.031084,0.011056,0.020029,-0.032114961,0.012734783,0.019381158,-0.000408977,-0.000622425,0.000246815,,,,
0.063845,-0.014461,-0.049384,0.062814039,-0.012782217,-0.050031842,-0.000802903,-0.003142702,0.000639518,,,,
-0.089031,0.028236,0.060795,-0.090061961,0.029914783,0.060147158,-0.002694184,-0.005416971,0.001799289,,,,
-0.041927,-0.22712,0.26904,-0.042957961,-0.225441217,0.268392158,0.009684495,-0.01152958,-0.060506655,,,,
0.014195,-0.097512,0.083317,0.013164039,-0.095833217,0.082669158,-0.001261552,0.00108826,-0.007922451,,,,
0.084093,-0.045613,-0.038481,0.083062039,-0.043934217,-0.039128842,-0.003649266,-0.003250121,0.001719095,,,,
0.087783,-0.0218,-0.065983,0.086752039,-0.020121217,-0.066630842,-0.001745557,-0.005780361,0.001340694,,,,
0.26671,-0.059864,-0.20685,0.265679039,-0.058185217,-0.207497842,-0.015458593,-0.055127827,0.012073307,,,,
-0.00596,-0.082645,0.088605,-0.006990961,-0.080966217,0.087957158,0.000566032,-0.000614905,-0.007121558,,,,
0.011412,-0.012459,0.0010471,0.010381039,-0.010780217,0.000399258,-0.00011191,4.14E-06,-4.30E-06,,,,
-0.0056562,-0.14023,0.14589,-0.006687161,-0.138551217,0.145242158,0.000926514,-0.000971258,-0.020123478,,,,
-0.14804,0.022542,0.1255,-0.149070961,0.024220783,0.124852158,-0.003610615,-0.018611831,0.003024017,,,,
-0.09786,0.0029574,0.094902,-0.098890961,0.004636183,0.094254158,-0.000458477,-0.009320884,0.00043698,,,,
0.10353,-0.05444,-0.049091,0.102499039,-0.052761217,-0.049738842,-0.005407974,-0.005098184,0.002624282,,,,
-0.17779,0.2207,-0.042903,-0.178820961,0.222378783,-0.043550842,-0.039765988,0.007787803,-0.009684783,,,,
-0.14164,0.12452,0.017115,-0.142670961,0.126198783,0.016467158,-0.018004902,-0.002349385,0.002078135,,,,
-0.17794,0.077521,0.10042,-0.178970961,0.079199783,0.099772158,-0.014174461,-0.017856319,0.007901933,,,,
-0.041725,-0.013422,0.055148,-0.042755961,-0.011743217,0.054500158,0.000502093,-0.002330207,-0.000640007,,,,
-0.0039056,-0.022948,0.026854,-0.004936561,-0.021269217,0.026206158,0.000104997,-0.000129368,-0.000557384,,,,
-0.0081857,0.12288,-0.11469,-0.009216661,0.124558783,-0.115337842,-0.001148016,0.00106303,-0.014366341,,,,
-0.23439,0.079497,0.15489,-0.235420961,0.081175783,0.154242158,-0.019110481,-0.036311837,0.012520728,,,,
-0.04575,0.084484,-0.038734,-0.046780961,0.086162783,-0.039381842,-0.004030778,0.00184232,-0.003393249,,,,
-0.14972,0.050474,0.099243,-0.150750961,0.052152783,0.098595158,-0.007862082,-0.014863315,0.005142012,,,,
0.0040988,0.0065304,-0.010629,0.003067839,0.008209183,-0.011276842,2.52E-05,-3.46E-05,-9.26E-05,,,,
